OBJECT_NAME,NORAD_CAT_ID,INCLINATION,ECCENTRICITY,RAAN,ARGUMENT_OF_PERIGEE,MEAN_ANOMALY,MEAN_MOTION,DRAG,LAUNCH_DATE,DECAY_DATE,ACTUAL_LIFETIME,LIFETIME_CLASS
DELTA 1 R/B,717,58.4452018737793,0.0007014999864622951,131.6667938232422,251.62460327148438,108.75279998779297,16.34970009,0.002117499941959977,1963-12-21,1990-10-05,27,3
SCOUT X-4 DEB,722,78.37370300292969,0.0048420000821352005,228.32640075683594,261.5483093261719,98.02790069580078,15.81271626,0.08082699775695801,1963-12-19,2018-04-18,55,3
SCOUT X-4 DEB,726,78.46330261230469,0.001451499992981553,15.306900024414062,18.194900512695312,341.5162048339844,16.26118412,0.007755099795758724,1963-12-19,2014-11-14,51,3
DELTA 1 DEB,736,58.46260070800781,0.0008558999979868531,136.36349487304688,324.1361999511719,43.48249816894531,16.32621528,0.0008295300067402422,1963-12-21,1981-11-25,18,3
THOR AGENA B DEB,749,81.51399993896484,0.0029523998964577913,313.347900390625,188.61610412597656,171.44920349121094,16.1263333,0.0,1964-01-25,1966-02-23,2,1
OPS 3722 DEB,760,82.0248031616211,0.0009849000489339232,57.09260177612305,253.4351043701172,106.61199951171875,15.99983894,0.0,1964-02-28,1965-08-17,1,1
OPS 3722 DEB,761,82.05059814453125,0.0016058000037446618,18.86280059814453,349.8898010253906,10.187600135803223,16.17806204,0.0,1964-02-28,1965-09-21,1,1
SCOUT X-3 R/B,775,51.57419967651367,0.007265400141477585,73.1365966796875,132.4241943359375,228.28469848632812,16.02231547,0.0,1964-03-27,1967-04-13,3,1
SCOUT X-4 DEB,806,90.74759674072266,0.0023586000315845013,255.37660217285156,160.4906005859375,203.06759643554688,16.25219901,0.0037175000179558992,1964-06-04,2002-11-19,38,3
THOR ABLESTAR DEB,840,66.60320281982422,0.0008295999723486602,231.135498046875,284.98291015625,76.25289916992188,16.25532984,0.00277970009483397,1960-06-22,2003-08-19,43,3
THOR ABLESTAR DEB,841,66.61810302734375,0.0012307000579312444,227.1334991455078,205.07069396972656,154.98959350585938,16.32026864,0.0018542000325396657,1960-06-22,2002-11-29,42,3
SCOUT X-3 DEB,847,51.29330062866211,0.008963099680840969,220.89210510253906,109.8905029296875,251.16879272460938,15.93926181,0.0,1964-03-27,1968-05-06,4,2
SL-8 R/B,856,56.10639953613281,0.008852600120007992,42.92839813232422,94.54019927978516,266.4761962890625,16.16167932,0.0,1964-08-18,1965-02-19,1,1
